xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,Tri0,Tri1,Tri2,Tri3,Tri4,state
126.0,166.0,126.0,166.0,0.19607844948768602,0.19607844948768602,0.14,0.027450982928276045,38.52920969861697,106.0,138.0,106.0,138.0,0.19215688109397897,0.19215688109397897,0.116,0.022290198206901563,23.926972228010797,171.0,221.0,171.0,221.0,0.18823531270027202,0.18823531270027202,0.125,0.023529414087534003,103.12371211317017,126.0,107.0,126.0,107.0,0.19607844948768602,0.19607844948768602,0.116,0.02274510014057158,20.554804791094465,152.0,119.0,152.0,119.0,0.19215688109397897,0.19215688109397897,0.092,0.017678433060646065,25.93260495977988,134.0,184.0,134.0,184.0,0.19215688109397897,0.19215688109397897,0.141,0.02709412023425103,56.87266478722445,136.0,108.0,136.0,108.0,0.18823531270027202,0.18823531270027202,0.109,0.02051764908432965,21.27204738618265,0.307,0.167,0.475,0.359,0.56,0.435,0.4,0.284,0.359,0.267,0.325,0.184,0.907,1.151,1.052,0.9,0.793,6
117.0,110.0,117.0,110.0,0.19215688109397897,0.19215688109397897,0.133,0.025556865185499204,20.40833163195855,129.0,154.0,129.0,154.0,0.19215688109397897,0.19215688109397897,0.1,0.0192156881093979,26.542418879973994,89.0,155.0,89.0,155.0,0.18823531270027202,0.18823531270027202,0.142,0.026729414403438626,47.312788968734445,138.0,110.0,138.0,110.0,0.19215688109397897,0.19215688109397897,0.116,0.022290198206901563,20.40833163195855,128.0,111.0,128.0,111.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,16.507574019219177,145.0,145.0,145.0,145.0,0.19215688109397897,0.19215688109397897,0.108,0.02075294315814973,24.748737341529164,147.0,140.0,147.0,140.0,0.19607844948768602,0.19607844948768602,0.133,0.026078433781862243,23.16246964380094,0.351,0.218,0.959,0.859,0.601,0.459,0.417,0.301,0.609,0.543,0.443,0.335,1.452,1.676,1.084,1.134,1.185,6
133.0,117.0,133.0,117.0,0.19215688109397897,0.19215688109397897,0.141,0.02709412023425103,11.853269591129697,157.0,107.0,157.0,107.0,0.19215688109397897,0.19215688109397897,0.125,0.02401961013674737,35.92352989337211,97.0,206.0,97.0,206.0,0.19215688109397897,0.19215688109397897,0.15,0.028823532164096843,84.21698166047035,121.0,138.0,121.0,138.0,0.18823531270027202,0.18823531270027202,0.108,0.02032941377162938,12.349089035228468,134.0,130.0,134.0,130.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,6.96419413859206,119.0,179.0,119.0,179.0,0.19215688109397897,0.19215688109397897,0.15,0.028823532164096843,52.19674319342156,130.0,142.0,130.0,142.0,0.19215688109397897,0.19215688109397897,0.141,0.02709412023425103,14.713938969562161,0.467,0.326,0.359,0.234,0.367,0.217,0.384,0.276,0.359,0.284,0.334,0.184,0.976,0.834,0.826,0.893,0.834,6
117.0,101.0,117.0,101.0,0.18823531270027202,0.18823531270027202,0.142,0.026729414403438626,28.50438562747845,134.0,116.0,134.0,116.0,0.19215688109397897,0.19215688109397897,0.1,0.0192156881093979,13.209844813622906,124.0,185.0,124.0,185.0,0.19215688109397897,0.19215688109397897,0.125,0.02401961013674737,57.6064232529672,154.0,142.0,154.0,142.0,0.18431372940540303,0.18431372940540303,0.142,0.02617254957556723,30.20761493398643,125.0,110.0,125.0,110.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,17.67766952966369,99.0,242.0,99.0,242.0,0.19607844948768602,0.19607844948768602,0.158,0.03098039501905439,117.99364389660995,125.0,109.0,125.0,109.0,0.18823531270027202,0.18823531270027202,0.108,0.02032941377162938,18.66815470259447,0.476,0.334,0.376,0.276,0.425,0.3,0.426,0.284,0.3,0.217,0.309,0.151,0.977,0.943,0.934,0.884,0.717,6
112.0,121.0,112.0,121.0,0.18823531270027202,0.18823531270027202,0.133,0.02503529658913618,16.80773631397161,123.0,135.0,123.0,135.0,0.18823531270027202,0.18823531270027202,0.108,0.02032941377162938,8.74642784226795,130.0,159.0,130.0,159.0,0.19215688109397897,0.19215688109397897,0.117,0.02248235508799554,31.599050618649922,156.0,131.0,156.0,131.0,0.18823531270027202,0.18823531270027202,0.125,0.023529414087534003,28.71410803072246,147.0,92.0,147.0,92.0,0.18431372940540303,0.18431372940540303,0.099,0.0182470592111349,40.50308630215727,111.0,169.0,111.0,169.0,0.18823531270027202,0.18823531270027202,0.133,0.02503529658913618,44.65982534672521,130.0,105.0,130.0,105.0,0.18823531270027202,0.18823531270027202,0.092,0.017317648768425026,22.638462845343543,0.476,0.343,0.475,0.367,0.426,0.309,0.434,0.309,0.367,0.268,0.35,0.217,1.068,1.026,0.959,0.934,0.809,6
92.0,112.0,92.0,112.0,0.18431372940540303,0.18431372940540303,0.133,0.024513726010918602,38.73628789649313,147.0,112.0,147.0,112.0,0.19215688109397897,0.19215688109397897,0.1,0.0192156881093979,24.9098374141623,126.0,233.0,126.0,233.0,0.19215688109397897,0.19215688109397897,0.167,0.03209019914269449,105.5106629682517,124.0,158.0,124.0,158.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,30.700162866017504,128.0,148.0,128.0,148.0,0.18823531270027202,0.18823531270027202,0.099,0.018635295957326933,20.506096654409877,98.0,214.0,98.0,214.0,0.19215688109397897,0.19215688109397897,0.159,0.030552944093942654,91.39201278011114,122.0,114.0,122.0,114.0,0.18823531270027202,0.18823531270027202,0.099,0.018635295957326933,14.577379737113251,0.525,0.392,0.317,0.217,0.534,0.367,0.418,0.318,0.483,0.384,0.326,0.167,1.009,0.951,1.051,1.06,0.908,6
82.0,96.0,82.0,96.0,0.19607844948768602,0.19607844948768602,0.142,0.027843139827251413,55.339859052946636,136.0,119.0,136.0,119.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,12.020815280171307,130.0,161.0,130.0,161.0,0.18823531270027202,0.18823531270027202,0.133,0.02503529658913618,33.59315406448165,153.0,100.0,153.0,100.0,0.19215688109397897,0.19215688109397897,0.125,0.02401961013674737,37.50333318519835,123.0,131.0,123.0,131.0,0.18823531270027202,0.18823531270027202,0.116,0.021835296273231556,5.70087712549569,96.0,156.0,96.0,156.0,0.19215688109397897,0.19215688109397897,0.141,0.02709412023425103,42.47940677551889,126.0,121.0,126.0,121.0,0.19215688109397897,0.19215688109397897,0.1,0.0192156881093979,6.670832032063167,0.434,0.292,0.509,0.418,0.359,0.226,0.367,0.242,0.309,0.193,0.333,0.192,1.076,0.993,0.842,0.817,0.742,6
82.0,75.0,82.0,75.0,0.19607844948768602,0.19607844948768602,0.133,0.026078433781862243,69.47301634447723,107.0,135.0,107.0,135.0,0.18823531270027202,0.18823531270027202,0.092,0.017317648768425026,21.828879952943073,163.0,212.0,163.0,212.0,0.19215688109397897,0.19215688109397897,0.15,0.028823532164096843,91.65424158215484,135.0,125.0,135.0,125.0,0.18823531270027202,0.18823531270027202,0.108,0.02032941377162938,7.905694150420948,136.0,84.0,136.0,84.0,0.19215688109397897,0.19215688109397897,0.116,0.022290198206901563,44.32268042436062,114.0,184.0,114.0,184.0,0.19607844948768602,0.19607844948768602,0.175,0.03431372866034505,58.090446718888295,138.0,115.0,138.0,115.0,0.18823531270027202,0.18823531270027202,0.108,0.02032941377162938,16.32482771731451,0.4,0.267,0.392,0.3,0.309,0.159,0.501,0.393,0.3,0.184,0.384,0.209,0.942,0.809,0.926,0.976,0.792,6
61.0,109.0,61.0,109.0,0.19215688109397897,0.19215688109397897,0.158,0.030360787212848676,69.0253576593414,133.0,94.0,133.0,94.0,0.19215688109397897,0.19215688109397897,0.108,0.02075294315814973,33.94849039353591,133.0,191.0,133.0,191.0,0.18823531270027202,0.18823531270027202,0.142,0.026729414403438626,63.73774391990981,150.0,106.0,150.0,106.0,0.18823531270027202,0.18823531270027202,0.133,0.02503529658913618,31.12073263919087,129.0,125.0,129.0,125.0,0.19215688109397897,0.19215688109397897,0.083,0.015949021130800253,2.9154759474226504,116.0,177.0,116.0,177.0,0.19215688109397897,0.19215688109397897,0.175,0.03362745419144632,50.81830378908765,135.0,85.0,135.0,85.0,0.19215688109397897,0.19215688109397897,0.108,0.02075294315814973,43.15669125408017,0.434,0.276,0.358,0.25,0.501,0.359,0.384,0.251,0.242,0.159,0.359,0.184,0.934,0.992,0.968,0.801,0.709,6
42.0,83.0,49.0,83.0,0.19607844948768602,0.12941177189350098,0.149,0.029215688973665215,90.23580220732788,173.0,42.0,173.0,42.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,96.85298136867031,98.0,217.0,98.0,217.0,0.18823531270027202,0.18823531270027202,0.133,0.02503529658913618,94.23640485502405,163.0,94.0,163.0,94.0,0.18823531270027202,0.18823531270027202,0.099,0.018635295957326933,48.81085944746312,135.0,109.0,135.0,109.0,0.180392161011696,0.180392161011696,0.057,0.010282353177666672,19.96246477767713,77.0,218.0,77.0,218.0,0.19215688109397897,0.19215688109397897,0.141,0.02709412023425103,103.63638357256586,137.0,111.0,137.0,111.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,19.03943276465977,0.483,0.334,0.518,0.443,0.534,0.401,1.194,1.095,0.433,0.376,0.342,0.201,1.134,1.151,1.785,1.768,0.858,6
