xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,xCoordPress7,yCoordPress7,xCoordRelease7,yCoordRelease7,pressPressure7,releasePressure7,holdTime7,HPP7,offSet7,xCoordPress8,yCoordPress8,xCoordRelease8,yCoordRelease8,pressPressure8,releasePressure8,holdTime8,HPP8,offSet8,xCoordPress9,yCoordPress9,xCoordRelease9,yCoordRelease9,pressPressure9,releasePressure9,holdTime9,HPP9,offSet9,xCoordPress10,yCoordPress10,xCoordRelease10,yCoordRelease10,pressPressure10,releasePressure10,holdTime10,HPP10,offSet10,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,PPTime6,UDTime6,PPTime7,UDTime7,PPTime8,UDTime8,PPTime9,UDTime9
44.0,97.0,44.0,97.0,0.172549024224281,0.172549024224281,0.109,0.01880784364044663,17.613914953808536,74.0,89.0,74.0,89.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,21.02974084481309,69.0,108.0,69.0,108.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,29.58462438497403,64.0,102.0,64.0,102.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,21.914607000811127,50.0,112.0,50.0,112.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,29.769951293208393,94.0,114.0,94.0,114.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,50.91414341811124,46.0,96.0,46.0,96.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,15.692354826475215,81.0,99.0,81.0,99.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,31.64253466459348,37.0,130.0,37.0,130.0,0.172549024224281,0.172549024224281,0.05,0.008627451211214051,50.450470760935424,80.0,103.0,80.0,103.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,33.10966626228661,91.0,89.0,91.0,89.0,0.14509804546833,0.14509804546833,0.058,0.00841568663716314,37.566607512523674,0.451,0.342,0.358,0.275,0.609,0.551,0.242,0.184,0.492,0.417,0.542,0.442,0.309,0.251,0.275,0.217,0.45,0.4,0.301,0.226
61.0,89.0,61.0,89.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,9.5524865872714,60.0,84.0,60.0,84.0,0.172549024224281,0.172549024224281,0.108,0.018635294616222348,6.18465843842649,67.0,97.0,67.0,97.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,19.474342094150447,3.0,90.0,3.0,90.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,51.54852083231875,61.0,96.0,61.0,96.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,15.20690632574555,67.0,97.0,67.0,97.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,19.474342094150447,41.0,110.0,41.0,110.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,30.41792234851026,66.0,89.0,66.0,89.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,13.647344063956181,61.0,85.0,61.0,85.0,0.180392161011696,0.180392161011696,0.049,0.008839215889573104,7.433034373659253,77.0,84.0,77.0,84.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,23.04886114323222,80.0,100.0,80.0,100.0,0.180392161011696,0.180392161011696,0.057,0.010282353177666672,31.34086788842964,0.334,0.259,0.367,0.259,0.576,0.476,0.408,0.317,0.634,0.567,0.501,0.434,0.417,0.351,0.384,0.326,0.467,0.418,0.326,0.251
62.0,121.0,62.0,121.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,39.322385482063524,69.0,102.0,69.0,104.963500976563,0.176470592617989,0.11764706671237898,0.125,0.022058824077248625,27.011273130381078,50.0,93.0,50.0,93.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,11.236102527122116,35.0,90.0,35.0,90.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,20.426698215815495,52.0,113.0,52.0,113.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,30.56550343115585,71.0,112.0,71.0,112.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,34.04776057246644,47.0,95.0,47.0,95.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,14.326548781894402,68.0,106.0,68.0,106.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,27.35415873317986,71.0,136.0,71.0,136.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,56.13599558215744,57.0,74.0,57.0,74.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,9.013878188659973,56.0,85.0,56.0,85.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,3.2015621187164243,0.384,0.309,0.35,0.225,0.601,0.501,0.267,0.201,0.525,0.451,0.535,0.46,0.392,0.326,0.326,0.259,0.55,0.467,0.359,0.284
62.0,103.0,62.0,103.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,22.005681084665387,76.0,92.0,76.0,92.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,23.96351393264352,53.0,127.0,53.0,127.0,0.176470592617989,0.176470592617989,0.141,0.02488235355913645,44.51123453691214,54.0,116.0,54.0,116.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,33.5,53.0,101.0,53.0,101.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,18.527007313648905,93.0,131.0,93.0,131.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,62.23544006432348,77.0,91.0,77.0,91.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,24.520399670478458,81.0,108.0,81.0,108.0,0.180392161011696,0.180392161011696,0.041,0.007396078601479537,37.13825520941984,64.0,130.0,64.0,130.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,48.541219597369,89.0,80.0,89.0,80.0,0.176470592617989,0.176470592617989,0.084,0.014823529779911077,35.0891721190455,56.0,124.0,56.0,124.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,41.548164821084455,0.342,0.259,0.3,0.234,0.634,0.493,0.216,0.15,0.526,0.451,0.617,0.526,0.334,0.267,0.367,0.326,0.467,0.392,0.326,0.242
64.0,88.0,64.0,88.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,11.412712210513327,76.0,98.0,76.0,98.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,26.911893281595777,57.0,91.0,57.0,91.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,9.013878188659973,65.0,56.0,65.0,56.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,28.692333470807146,52.0,90.0,52.0,90.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,7.762087348130012,91.0,91.0,91.0,91.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,37.963798545456434,42.0,92.0,42.0,92.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,15.305227865013967,74.0,130.0,74.0,130.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,51.53882032022076,55.0,108.0,55.0,108.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,25.51960031034969,77.0,93.0,77.0,93.0,0.176470592617989,0.176470592617989,0.082,0.014470588594675099,25.283393759541063,64.0,86.0,64.0,86.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,10.594810050208546,0.409,0.326,0.358,0.275,0.618,0.535,0.242,0.151,0.625,0.55,0.534,0.442,0.393,0.318,0.375,0.284,0.476,0.401,0.317,0.235
75.0,101.0,75.0,101.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,27.98660393831306,56.0,79.0,56.0,79.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,4.031128874149275,66.0,106.0,66.0,106.0,0.180392161011696,0.180392161011696,0.082,0.014792157202959073,26.386549603917523,49.0,110.0,49.0,110.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,27.95084971874737,58.0,116.0,58.0,116.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,33.737960815674676,93.0,135.0,93.0,135.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,65.40068806977493,57.0,94.0,57.0,94.0,0.18431372940540303,0.18431372940540303,0.1,0.018431372940540303,11.884864324004713,84.0,98.0,84.0,98.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,33.76758800980609,55.0,134.0,55.0,134.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,51.509707822894896,71.0,92.0,71.0,92.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,19.474342094150447,67.0,98.0,67.0,98.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,20.22992832414391,0.351,0.293,0.384,0.318,0.417,0.335,0.308,0.2,0.476,0.376,0.475,0.375,0.351,0.251,0.309,0.234,0.509,0.443,0.341,0.275
77.0,117.0,77.0,117.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,41.46383966783588,61.0,84.0,61.0,84.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,7.158910531638177,63.0,116.0,63.0,116.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,34.6878941419049,65.0,78.0,65.0,78.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,11.884864324004713,65.0,109.0,65.0,109.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,28.692333470807146,86.0,95.0,86.0,95.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,34.35476677260377,17.0,93.0,17.0,93.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,38.46101922726437,75.0,77.0,75.0,77.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,21.70829334609241,61.0,129.0,61.0,129.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,47.02393007820593,73.0,70.0,73.0,70.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,22.74313083108832,51.0,89.0,51.0,89.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,7.158910531638177,0.401,0.326,0.317,0.259,0.484,0.393,0.241,0.167,0.559,0.484,0.409,0.342,0.376,0.301,0.35,0.284,0.634,0.576,0.292,0.217
82.0,115.0,82.0,115.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,42.8981351576033,32.0,67.0,32.0,67.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,26.911893281595777,57.0,112.0,57.0,112.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,29.652150006365474,22.0,64.0,22.0,64.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,36.96281915655244,47.0,103.0,47.0,103.0,0.180392161011696,0.180392161011696,0.049,0.008839215889573104,21.66217902243447,85.0,110.0,85.0,110.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,41.43971524998694,40.0,106.0,40.0,106.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,27.35415873317986,63.0,108.0,63.0,108.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,27.04163456597992,81.0,132.0,81.0,132.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,56.38483838763751,70.0,114.0,70.0,114.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,35.33058165385903,67.0,116.0,67.0,116.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,35.9339672176619,0.425,0.367,0.409,0.343,0.692,0.626,0.318,0.26,0.433,0.384,0.484,0.401,0.384,0.293,0.333,0.259,0.468,0.393,0.325,0.251
69.0,99.0,69.0,99.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,22.299103120977758,72.0,103.0,72.0,103.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,27.28094573140748,66.0,91.0,66.0,91.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,14.705441169852742,61.0,131.0,61.0,131.0,0.18431372940540303,0.18431372940540303,0.092,0.01695686310529708,49.002550954006466,43.0,121.0,43.0,121.0,0.180392161011696,0.180392161011696,0.082,0.014792157202959073,40.04060439104285,104.0,95.0,104.0,95.0,0.176470592617989,0.176470592617989,0.099,0.01747058866918091,51.53882032022076,40.0,114.0,40.0,114.0,0.172549024224281,0.172549024224281,0.125,0.021568628028035126,34.471002306286366,60.0,110.0,60.0,110.0,0.180392161011696,0.180392161011696,0.099,0.017858823940157906,28.146935890075138,64.0,125.0,64.0,125.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,43.660622991432454,101.0,107.0,101.0,107.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,53.002358438092166,81.0,93.0,81.0,93.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,28.96981187374195,0.392,0.318,0.317,0.251,0.45,0.359,0.285,0.193,0.475,0.393,0.5,0.401,0.393,0.268,0.316,0.217,0.434,0.334,0.326,0.218
67.0,85.0,67.0,85.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,13.238202294873727,71.0,62.0,71.0,62.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,26.63174797117155,72.0,120.0,72.0,120.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,41.59627387158614,17.0,135.0,17.0,135.0,0.180392161011696,0.180392161011696,0.049,0.008839215889573104,64.22810911119835,42.0,113.0,42.0,113.0,0.176470592617989,0.176470592617989,0.024,0.004235294222831736,32.77575323314477,82.0,98.0,82.0,98.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,32.00390601161052,52.0,103.0,52.0,103.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,20.59732992404598,63.0,98.0,63.0,98.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,17.92344832893492,40.0,135.0,40.0,135.0,0.176470592617989,0.176470592617989,0.059,0.01041176496446135,54.33461143691008,57.0,94.0,57.0,94.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,11.884864324004713,65.0,99.0,65.0,99.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,19.83053201505194,0.375,0.292,0.384,0.309,0.484,0.418,0.317,0.268,0.467,0.443,0.459,0.401,0.433,0.367,0.275,0.2,0.459,0.4,0.334,0.267
