xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,Tri0,Tri1,Tri2,Tri3
134.0,121.0,134.0,121.0,0.19215688109397897,0.19215688109397897,0.083,0.015949021130800253,9.192388155425117,150.0,137.0,150.0,133.0,0.18431372940540303,0.0980392247438431,0.091,0.016772549375891677,23.16246964380094,149.0,122.0,149.0,122.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,22.192341021172147,123.0,114.0,123.0,114.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,14.230249470757707,136.0,174.0,136.0,174.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,47.270498199193966,131.0,157.0,131.0,157.0,0.19607844948768602,0.19607844948768602,0.1,0.019607844948768605,29.706901555025897,0.5,0.417,0.317,0.226,0.317,0.242,0.775,0.675,0.334,0.259,0.892,0.734,1.167,1.209
125.0,126.0,125.0,126.0,0.20000001788139302,0.20000001788139302,0.075,0.015000001341104475,2.9154759474226504,152.0,154.0,152.0,154.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,36.09016486523718,114.0,161.0,114.0,161.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,36.1178626167164,63.0,170.0,63.0,170.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,77.24312267121262,96.0,163.0,78.62847900390621,158.525634765625,0.180392161011696,0.10196079313755,0.092,0.01659607881307603,57.88795709887847,122.0,109.0,122.0,109.0,0.20000001788139302,0.20000001788139302,0.091,0.018200001627206763,19.300259065618782,0.467,0.392,0.317,0.217,0.226,0.159,0.241,0.158,0.293,0.201,0.851,0.626,0.559,0.625
119.0,145.0,119.0,145.0,0.19215688109397897,0.19215688109397897,0.075,0.014411766082048421,19.45507645834372,145.0,121.0,145.0,121.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,18.66815470259447,130.0,59.0,130.0,59.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,68.54560525664647,134.0,101.0,134.0,101.0,0.18431372940540303,0.18431372940540303,0.108,0.019905882775783527,27.285527299284507,73.0,138.0,73.0,138.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,55.502252206554644,88.0,119.0,88.0,119.0,0.19607844948768602,0.19607844948768602,0.074,0.014509805262088765,40.40420770167385,0.526,0.451,0.317,0.242,0.242,0.167,0.258,0.15,0.768,0.676,0.918,0.667,0.592,1.1
148.0,139.0,148.0,139.0,0.19215688109397897,0.19215688109397897,0.075,0.014411766082048421,23.50531854708632,140.0,129.0,140.0,129.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,12.589678312014172,130.0,101.0,130.0,101.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,26.61766330841233,134.0,110.0,134.0,110.0,0.18823531270027202,0.18823531270027202,0.116,0.021835296273231556,18.66815470259447,173.0,134.0,173.0,134.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,45.96194077712559,170.0,104.0,170.0,104.0,0.203921586275101,0.203921586275101,0.1,0.020392158627510103,48.56439024635232,0.451,0.376,0.292,0.209,0.25,0.176,0.692,0.576,0.409,0.318,0.817,0.658,1.033,1.201
133.0,105.0,133.0,105.0,0.19607844948768602,0.19607844948768602,0.091,0.017843138903379428,23.16246964380094,167.0,155.0,167.0,155.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,48.130032204435516,131.0,172.0,131.0,172.0,0.172549024224281,0.172549024224281,0.049,0.00845490218698977,44.637428241331286,104.0,138.0,104.0,138.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,25.739075352467502,201.0,100.0,201.0,100.0,0.180392161011696,0.180392161011696,0.107,0.019301961228251473,78.47611101475404,126.0,149.0,126.0,149.0,0.18431372940540303,0.18431372940540303,0.05,0.009215686470270152,21.552262062252307,0.534,0.443,1.294,1.211,0.241,0.192,0.734,0.668,0.658,0.551,1.877,1.601,1.082,1.442
151.0,115.0,151.0,115.0,0.19215688109397897,0.19215688109397897,0.074,0.014219609200954443,26.61766330841233,164.0,148.0,164.0,148.0,0.176470592617989,0.176470592617989,0.125,0.022058824077248625,41.862871377868956,156.0,146.0,156.0,146.0,0.180392161011696,0.180392161011696,0.099,0.017858823940157906,33.97793401606401,153.0,137.0,153.0,137.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,27.212129648375555,68.0,209.0,68.0,209.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,100.90837428082963,188.0,124.0,188.0,124.0,0.19215688109397897,0.19215688109397897,0.133,0.025556865185499204,60.60115510450275,0.533,0.459,1.036,0.911,0.282,0.183,0.259,0.192,0.3,0.225,1.668,1.385,0.616,0.692
146.0,146.0,146.0,146.0,0.19215688109397897,0.19215688109397897,0.083,0.015949021130800253,26.16295090390226,143.0,187.0,143.0,187.0,0.176470592617989,0.176470592617989,0.125,0.022058824077248625,61.48577071160449,131.0,187.0,131.0,187.0,0.180392161011696,0.180392161011696,0.116,0.020925490677356738,59.602852280742404,125.0,153.0,127.0,153.0,0.18431372940540303,0.12941177189350098,0.1,0.018431372940540303,25.5049014897137,157.0,139.0,157.0,139.0,0.180392161011696,0.180392161011696,0.099,0.017858823940157906,31.662280397975127,102.0,30.0,102.0,30.0,0.19607844948768602,0.19607844948768602,0.091,0.017843138903379428,100.77946219344496,0.5,0.417,0.409,0.284,0.4,0.284,0.276,0.176,0.35,0.251,1.025,0.909,0.775,0.717
179.0,133.0,179.0,133.0,0.19607844948768602,0.19607844948768602,0.116,0.02274510014057158,51.79285665031424,157.0,151.0,158.96911621093702,142.13903808593798,0.176470592617989,0.0941176563501358,0.108,0.01905882400274281,34.707444607446995,125.0,176.0,125.0,176.0,0.18431372940540303,0.18431372940540303,0.116,0.02138039261102675,48.56439024635232,117.0,139.0,117.0,139.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,15.572411502397436,149.0,146.0,149.0,146.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,28.36370920736567,165.0,111.0,165.0,111.0,0.19215688109397897,0.19215688109397897,0.117,0.02248235508799554,40.96950085124299,0.433,0.317,0.351,0.243,0.667,0.551,0.267,0.184,0.342,0.276,0.9,1.101,1.0,0.726
145.0,98.0,145.0,98.0,0.19215688109397897,0.19215688109397897,0.075,0.014411766082048421,34.30014577228499,148.0,182.0,148.0,182.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,58.22800013739094,155.0,149.0,155.0,149.0,0.180392161011696,0.180392161011696,0.109,0.019662745550274863,34.90701935141412,110.0,129.0,110.0,129.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,17.564168070250297,172.0,107.0,172.0,107.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,48.99489769353539,126.0,129.0,126.0,129.0,0.19215688109397897,0.19215688109397897,0.066,0.012682354152202611,2.1213203435596424,0.384,0.309,0.4,0.325,0.284,0.175,0.442,0.367,0.393,0.301,0.893,0.759,0.818,0.901
127.0,133.0,127.0,133.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,5.522680508593631,137.0,101.0,137.0,101.0,0.180392161011696,0.180392161011696,0.117,0.021105882838368433,28.151376520518493,143.0,177.0,143.0,177.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,51.870029882389694,148.0,136.0,148.0,136.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,22.192341021172147,183.0,179.0,183.0,179.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,75.71327492586752,130.0,158.0,130.0,158.0,0.19215688109397897,0.19215688109397897,0.067,0.012874511033296591,30.602287496198713,0.391,0.325,0.318,0.201,0.258,0.15,1.995,1.929,0.4,0.3,0.817,0.642,2.353,2.462
