xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,Tri0,Tri1,Tri2,Tri3,Tri4
143.0,112.0,143.0,112.0,0.203921586275101,0.203921586275101,0.075,0.015294118970632575,21.920310216782973,104.0,162.0,99.0,158.0,0.18431372940540303,0.176470592617989,0.116,0.02138039261102675,41.743262929483606,117.0,182.0,117.0,182.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,55.502252206554644,103.0,127.0,103.0,127.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,24.50510150968569,124.0,162.0,124.0,162.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,34.677081768799404,118.0,169.0,118.0,169.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,42.573465914816005,112.0,125.0,105.134506225586,122.0576171875,0.18823531270027202,0.176470592617989,0.083,0.015623530954122578,23.018141594211013,0.175,0.1,0.191,0.075,0.226,0.143,0.233,0.125,0.175,0.1,0.15,0.092,0.449,0.525,0.534,0.466,0.408
105.0,202.0,105.0,202.0,0.20000001788139302,0.20000001788139302,0.083,0.01660000148415562,77.82351829620657,158.0,177.0,152.0,174.0,0.18431372940540303,0.172549024224281,0.117,0.021564706340432154,52.55949010407159,135.0,145.0,135.0,145.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,19.03943276465977,120.0,137.0,120.0,137.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,12.103718436910205,141.0,158.0,141.0,158.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,33.354160160315836,116.0,154.0,116.0,154.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,28.88771365130858,103.0,106.0,100.0,104.0,0.18431372940540303,0.149019613862038,0.091,0.016772549375891677,36.173194495371845,0.166,0.083,0.167,0.05,0.267,0.184,0.309,0.226,0.175,0.109,0.209,0.151,0.416,0.517,0.642,0.542,0.475
116.0,181.0,116.0,181.0,0.203921586275101,0.203921586275101,0.083,0.016925491660833385,54.7220248163388,128.0,137.0,128.0,137.0,0.18431372940540303,0.18431372940540303,0.099,0.0182470592111349,9.513148795220223,148.0,152.0,148.0,152.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,31.945265689926575,105.0,122.0,107.0,120.0,0.176470592617989,0.12941177189350098,0.099,0.01747058866918091,21.828879952943073,118.0,177.0,118.0,177.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,50.40337290301116,108.0,132.0,108.0,132.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,20.0124960961895,61.0,98.0,61.0,98.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,72.74957044546724,0.167,0.084,0.167,0.068,0.242,0.176,0.325,0.226,0.209,0.134,0.2,0.134,0.4,0.508,0.642,0.6,0.484
194.0,173.0,194.0,177.0,0.20000001788139302,0.172549024224281,0.083,0.01660000148415562,82.90054282090075,124.0,130.0,124.0,130.0,0.180392161011696,0.180392161011696,0.116,0.020925490677356738,4.301162633521313,114.0,132.0,114.0,132.0,0.19215688109397897,0.19215688109397897,0.108,0.02075294315814973,14.230249470757707,129.0,139.0,129.0,139.0,0.18431372940540303,0.18431372940540303,0.117,0.021564706340432154,11.597413504743201,117.0,135.0,117.0,135.0,0.172549024224281,0.172549024224281,0.091,0.01570196120440957,12.90348790056394,106.0,146.0,106.0,146.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,28.36370920736567,102.0,113.0,102.0,113.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,29.33428028774526,0.133,0.05,0.159,0.043,0.241,0.133,0.518,0.401,0.191,0.1,0.142,0.075,0.4,0.517,0.85,0.776,0.433
137.0,98.0,137.0,98.0,0.19607844948768602,0.19607844948768602,0.067,0.013137256115674964,30.99193443462347,146.0,143.0,143.0,143.0,0.18431372940540303,0.168627455830574,0.125,0.02303921617567538,21.920310216782973,93.0,205.0,93.0,205.0,0.18823531270027202,0.18823531270027202,0.109,0.02051764908432965,84.83218728760917,113.0,133.0,113.0,133.0,0.180392161011696,0.180392161011696,0.116,0.020925490677356738,15.508062419270823,131.0,179.0,131.0,179.0,0.160784319043159,0.160784319043159,0.067,0.010772549375891654,51.61879502661797,108.0,143.0,108.0,143.0,0.176470592617989,0.176470592617989,0.033,0.005823529556393638,24.9098374141623,83.0,112.0,83.0,112.0,0.180392161011696,0.180392161011696,0.099,0.017858823940157906,47.12218161333365,0.15,0.083,0.175,0.05,0.81,0.701,0.283,0.167,0.234,0.167,0.117,0.084,0.434,1.101,1.16,0.55,0.45
130.0,165.0,130.0,165.0,0.207843154668808,0.207843154668808,0.091,0.01891372707486153,37.58324094593227,111.0,121.0,111.0,121.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,17.7341478509682,135.0,163.0,135.0,163.0,0.18431372940540303,0.18431372940540303,0.082,0.015113725811243048,36.28360511305347,155.0,143.0,151.038482666016,143.0,0.18431372940540303,0.14117647707462302,0.117,0.021564706340432154,28.183508763429998,87.0,175.0,87.0,175.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,62.42195126716242,91.0,132.0,91.0,132.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,36.776351096866584,89.0,101.0,89.0,101.0,0.176470592617989,0.176470592617989,0.099,0.01747058866918091,46.738634982207174,0.167,0.076,0.142,0.042,0.408,0.326,0.234,0.117,0.225,0.142,0.167,0.092,0.391,0.667,0.725,0.534,0.491
105.0,192.0,105.0,192.0,0.20000001788139302,0.20000001788139302,0.075,0.015000001341104475,68.3117852204142,106.0,110.0,106.0,110.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,27.721832551258224,125.0,156.0,125.0,156.0,0.19215688109397897,0.19215688109397897,0.083,0.015949021130800253,28.609439001839934,102.0,129.0,102.0,129.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,25.544079548889602,111.0,167.0,111.0,167.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,42.80770958600799,102.0,142.0,102.0,142.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,29.33428028774526,71.0,82.0,71.0,82.0,0.180392161011696,0.180392161011696,0.109,0.019662745550274863,72.54309064273454,0.175,0.1,0.209,0.101,0.375,0.292,0.2,0.092,0.2,0.117,0.175,0.108,0.467,0.692,0.658,0.467,0.484
140.0,102.0,140.0,102.0,0.203921586275101,0.203921586275101,0.1,0.020392158627510103,28.398943642325854,139.0,126.0,136.0,126.0,0.18431372940540303,0.176470592617989,0.116,0.02138039261102675,8.631338250816034,85.0,150.0,85.0,154.0,0.19215688109397897,0.14117647707462302,0.1,0.0192156881093979,50.08492787256461,94.0,131.0,94.0,131.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,33.68233958619858,87.0,237.0,87.0,237.0,0.168627455830574,0.168627455830574,0.075,0.01264705918729305,116.74973233374028,81.0,155.0,81.0,155.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,54.023143188822324,123.0,119.0,117.0,118.0,0.18431372940540303,0.172549024224281,0.099,0.0182470592111349,14.159802258506296,0.167,0.067,0.183,0.067,0.284,0.184,0.208,0.1,0.209,0.134,0.167,0.101,0.45,0.575,0.567,0.483,0.475
131.0,130.0,133.0,130.0,0.203921586275101,0.133333340287209,0.091,0.01855686435103419,6.041522986797286,135.0,121.0,135.0,121.0,0.18823531270027202,0.18823531270027202,0.108,0.02032941377162938,9.924716620639604,125.0,174.0,124.0,178.0,0.19215688109397897,0.121568635106087,0.091,0.017486276179552087,50.62114182829147,111.0,139.0,111.0,139.0,0.180392161011696,0.180392161011696,0.099,0.017858823940157906,20.112185361118765,98.0,188.0,98.0,188.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,67.30898899849856,90.0,178.0,90.0,178.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,62.90071541723512,67.0,87.0,67.0,87.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,72.80453282591682,0.142,0.051,0.158,0.05,0.284,0.193,0.233,0.134,0.242,0.159,0.142,0.084,0.391,0.541,0.6,0.533,0.467
119.0,133.0,119.0,133.0,0.20000001788139302,0.20000001788139302,0.091,0.018200001627206763,10.124228365658293,114.0,101.0,114.0,101.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,29.740544715926102,111.0,157.0,111.0,157.0,0.19607844948768602,0.19607844948768602,0.099,0.019411766499280916,33.80088756231114,119.0,116.0,119.0,116.0,0.18431372940540303,0.18431372940540303,0.108,0.019905882775783527,14.300349646075091,120.0,157.0,120.0,157.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,30.438462510448847,92.0,131.0,92.0,131.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,35.67211796347394,75.0,95.0,75.0,95.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,61.74544517614235,0.175,0.084,0.159,0.059,0.241,0.142,0.2,0.092,0.192,0.1,0.176,0.101,0.433,0.508,0.533,0.467,0.459
