xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,xCoordPress7,yCoordPress7,xCoordRelease7,yCoordRelease7,pressPressure7,releasePressure7,holdTime7,HPP7,offSet7,xCoordPress8,yCoordPress8,xCoordRelease8,yCoordRelease8,pressPressure8,releasePressure8,holdTime8,HPP8,offSet8,xCoordPress9,yCoordPress9,xCoordRelease9,yCoordRelease9,pressPressure9,releasePressure9,holdTime9,HPP9,offSet9,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,PPTime6,UDTime6,PPTime7,UDTime7,PPTime8,UDTime8,Tri0,Tri1,Tri2,Tri3,Tri4,Tri5,Tri6,Tri7
118.0,123.0,118.0,123.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,10.51189802081432,132.0,168.0,132.0,168.0,0.18823531270027202,0.18823531270027202,0.025,0.004705882817506801,40.749233121618374,142.0,185.0,142.0,185.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,59.3000843169721,174.0,209.0,174.0,209.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,93.83229721156783,116.0,145.0,116.0,145.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,20.940391591371924,161.0,178.0,165.0,176.0,0.18823531270027202,0.176470592617989,0.074,0.01392941313982013,61.30660649554826,131.0,135.0,131.0,135.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,8.276472678623424,168.0,184.0,168.0,184.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,69.51618516575834,135.0,172.0,135.0,172.0,0.180392161011696,0.180392161011696,0.141,0.025435294702649134,45.1275968781853,160.0,159.0,160.0,159.0,0.19215688109397897,0.19215688109397897,0.041,0.007878432124853138,45.260357930533424,0.108,0.025,0.2,0.175,0.242,0.167,0.192,0.117,0.159,0.076,0.233,0.159,0.301,0.234,0.167,0.092,0.2,0.059,0.383,0.517,0.517,0.425,0.459,0.609,0.609,0.408
125.0,132.0,125.0,132.0,0.180392161011696,0.180392161011696,0.109,0.019662745550274863,5.1478150704935,125.0,111.0,125.0,111.0,0.19607844948768602,0.19607844948768602,0.041,0.008039216428995128,16.688319268278637,185.0,177.0,185.0,177.0,0.18431372940540303,0.18431372940540303,0.05,0.009215686470270152,75.871602065595,126.0,178.0,126.0,178.0,0.20000001788139302,0.20000001788139302,0.058,0.011600001037120795,50.52227231627651,136.0,112.0,136.0,112.0,0.18431372940540303,0.18431372940540303,0.116,0.02138039261102675,17.67766952966369,184.0,181.0,184.0,181.0,0.19607844948768602,0.19607844948768602,0.05,0.009803922474384302,77.81066764910837,206.0,177.0,206.0,174.06262207031298,0.18823531270027202,0.176470592617989,0.083,0.015623530954122578,91.27062930681917,87.0,141.0,87.0,141.0,0.20000001788139302,0.20000001788139302,0.066,0.01320000118017194,42.69074841227312,139.0,149.0,139.0,149.0,0.19215688109397897,0.19215688109397897,0.117,0.02248235508799554,24.38237068047322,153.0,123.0,153.0,123.0,0.20000001788139302,0.20000001788139302,0.066,0.01320000118017194,25.894014752448104,0.159,0.05,0.242,0.201,0.217,0.167,0.125,0.067,0.217,0.101,0.209,0.159,0.258,0.175,0.15,0.084,0.234,0.117,0.451,0.517,0.458,0.392,0.509,0.533,0.525,0.45
105.0,153.0,105.0,153.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,34.007352146263905,158.0,158.0,158.0,158.0,0.19607844948768602,0.19607844948768602,0.066,0.012941177666187277,43.1335136523794,181.0,151.0,181.0,151.0,0.18823531270027202,0.18823531270027202,0.05,0.009411765635013601,58.43372313998142,114.0,174.0,114.0,174.0,0.20000001788139302,0.20000001788139302,0.067,0.013400001198053332,48.42003717470692,112.0,155.0,112.0,155.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,31.567388235329194,188.0,174.0,192.0,170.0,0.19607844948768602,0.176470592617989,0.083,0.01627451130747794,77.24312267121262,195.0,166.0,195.0,166.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,77.70778596768795,143.0,182.0,142.0,185.0,0.20000001788139302,0.176470592617989,0.083,0.01660000148415562,59.3000843169721,101.0,152.0,101.0,152.0,0.18431372940540303,0.18431372940540303,0.116,0.02138039261102675,36.09016486523718,149.0,184.0,149.0,184.0,0.20000001788139302,0.20000001788139302,0.057,0.011400001019239402,60.45246066125018,0.176,0.093,0.233,0.167,0.217,0.167,0.15,0.083,0.167,0.067,0.242,0.159,0.226,0.159,0.192,0.109,0.217,0.101,0.459,0.517,0.467,0.4,0.476,0.551,0.534,0.466
119.0,123.0,119.0,123.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,9.617692030835672,164.0,133.0,164.0,133.0,0.19607844948768602,0.19607844948768602,0.066,0.012941177666187277,36.9120576505835,173.0,105.0,166.0,111.0,0.18823531270027202,0.133333340287209,0.058,0.010917648136615778,41.8867520822515,135.0,180.0,135.0,180.0,0.20000001788139302,0.20000001788139302,0.058,0.011600001037120795,53.033008588991066,126.0,168.0,126.0,168.0,0.19215688109397897,0.19215688109397897,0.083,0.015949021130800253,40.527768258318886,158.0,204.0,158.0,204.0,0.19215688109397897,0.19215688109397897,0.032,0.006149020195007327,82.35593481953805,194.0,180.0,194.0,180.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,84.72602905837142,139.0,162.0,139.0,162.0,0.19607844948768602,0.19607844948768602,0.091,0.017843138903379428,36.36619309193636,119.0,139.0,119.0,139.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,14.300349646075091,160.0,164.0,160.0,164.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,48.87228253314961,0.176,0.11,0.233,0.167,0.234,0.176,0.133,0.075,0.176,0.093,0.233,0.201,0.234,0.159,0.175,0.084,0.267,0.167,0.467,0.525,0.45,0.341,0.484,0.558,0.509,0.5
129.0,144.0,129.0,144.0,0.18431372940540303,0.18431372940540303,0.116,0.02138039261102675,16.56804152578089,132.0,126.0,132.0,126.0,0.20000001788139302,0.20000001788139302,0.067,0.013400001198053332,4.743416490252569,165.0,172.0,163.0,177.0,0.18823531270027202,0.121568635106087,0.058,0.010917648136615778,60.91387362497972,140.0,172.0,140.0,173.94677734375,0.20000001788139302,0.164705887436867,0.075,0.015000001341104475,48.099408786594125,130.0,160.0,130.0,160.0,0.18823531270027202,0.18823531270027202,0.092,0.017317648768425026,32.59601202601324,173.0,171.0,173.0,171.0,0.19607844948768602,0.19607844948768602,0.05,0.009803922474384302,62.94839156007086,186.0,199.0,186.0,199.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,92.38235762308732,138.0,152.0,138.0,152.0,0.20000001788139302,0.20000001788139302,0.092,0.018400001645088156,26.65520587052368,117.0,153.0,117.0,153.0,0.18431372940540303,0.18431372940540303,0.141,0.025988235846161823,27.577164466275352,124.0,175.0,124.0,175.0,0.19215688109397897,0.19215688109397897,0.067,0.012874511033296591,47.62877281643944,0.183,0.067,0.276,0.209,0.225,0.167,0.183,0.108,0.176,0.084,0.258,0.208,0.267,0.184,0.201,0.109,0.241,0.1,0.517,0.576,0.5,0.409,0.517,0.617,0.609,0.509
149.0,134.0,149.0,134.0,0.19215688109397897,0.19215688109397897,0.116,0.022290198206901563,22.4610774452162,138.0,155.0,138.0,155.0,0.20000001788139302,0.20000001788139302,0.067,0.013400001198053332,29.436372059070052,140.0,175.0,140.0,175.0,0.18823531270027202,0.18823531270027202,0.05,0.009411765635013601,49.11720676097125,131.0,160.0,131.0,160.0,0.203921586275101,0.203921586275101,0.083,0.016925491660833385,32.687918257362305,151.0,141.0,151.0,141.0,0.19215688109397897,0.19215688109397897,0.1,0.0192156881093979,27.101660465735304,186.0,178.0,186.0,178.0,0.20000001788139302,0.20000001788139302,0.066,0.01320000118017194,77.28195132112025,131.0,167.0,131.0,167.0,0.18823531270027202,0.18823531270027202,0.05,0.009411765635013601,39.654760117796705,132.0,130.0,132.0,130.0,0.20000001788139302,0.20000001788139302,0.066,0.01320000118017194,5.1478150704935,170.0,127.0,170.0,127.0,0.19607844948768602,0.19607844948768602,0.1,0.019607844948768605,42.50294107470682,162.0,142.0,162.0,142.0,0.20000001788139302,0.20000001788139302,0.074,0.014800001323223082,37.42325480232846,0.183,0.067,0.267,0.2,0.242,0.192,0.192,0.109,0.184,0.084,0.275,0.209,0.317,0.267,0.267,0.201,0.259,0.159,0.5,0.592,0.534,0.442,0.509,0.658,0.684,0.6
115.0,117.0,115.0,117.0,0.19215688109397897,0.19215688109397897,0.108,0.02075294315814973,16.32482771731451,148.0,127.0,148.0,127.0,0.20000001788139302,0.20000001788139302,0.092,0.018400001645088156,20.506096654409877,122.0,199.0,122.0,199.0,0.19215688109397897,0.19215688109397897,0.033,0.006341177076101306,71.71122645722913,128.0,213.0,128.0,213.0,0.20000001788139302,0.20000001788139302,0.066,0.01320000118017194,85.50146197580483,154.0,170.0,154.0,170.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,50.08492787256461,190.0,150.0,190.0,150.0,0.20000001788139302,0.20000001788139302,0.066,0.01320000118017194,66.42665127793211,175.0,166.0,175.0,166.0,0.18823531270027202,0.18823531270027202,0.05,0.009411765635013601,61.14327436439759,168.0,152.0,168.0,152.0,0.19607844948768602,0.19607844948768602,0.041,0.008039216428995128,47.33392018415547,174.0,170.0,174.0,170.0,0.19215688109397897,0.19215688109397897,0.091,0.017486276179552087,62.99603162104737,194.0,158.0,194.0,158.0,0.20000001788139302,0.20000001788139302,0.066,0.01320000118017194,73.16078184382668,0.175,0.067,0.284,0.192,0.234,0.201,0.2,0.134,0.167,0.076,0.242,0.176,0.309,0.259,0.175,0.134,0.242,0.151,0.492,0.584,0.525,0.433,0.459,0.592,0.575,0.483
111.0,133.0,111.0,133.0,0.18823531270027202,0.18823531270027202,0.108,0.02032941377162938,17.392527130926087,195.0,168.0,195.0,168.0,0.20000001788139302,0.20000001788139302,0.049,0.009800000876188259,78.71785058041155,168.0,231.0,168.0,231.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,111.14180131705622,128.0,173.0,128.0,173.0,0.20000001788139302,0.20000001788139302,0.042,0.008400000751018507,45.50274716981382,164.0,170.0,164.0,170.0,0.19607844948768602,0.19607844948768602,0.091,0.017843138903379428,56.0223169817172,138.0,157.0,138.0,157.0,0.20000001788139302,0.20000001788139302,0.058,0.011600001037120795,31.312936623702353,172.0,165.0,172.0,165.0,0.18823531270027202,0.18823531270027202,0.058,0.010917648136615778,58.1936422644261,155.0,120.0,155.0,120.0,0.20000001788139302,0.20000001788139302,0.058,0.011600001037120795,28.50438562747845,126.0,151.0,126.0,151.0,0.19215688109397897,0.19215688109397897,0.108,0.02075294315814973,23.547823678633232,140.0,143.0,140.0,143.0,0.203921586275101,0.203921586275101,0.084,0.017129413247108486,19.912307751739878,0.209,0.101,0.225,0.176,0.225,0.167,0.109,0.067,0.167,0.076,0.208,0.15,0.251,0.193,0.158,0.1,0.2,0.092,0.492,0.492,0.425,0.334,0.433,0.517,0.517,0.442
95.0,125.0,95.0,125.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,32.59601202601324,131.0,125.0,133.0,125.0,0.20000001788139302,0.152941182255745,0.058,0.011600001037120795,6.041522986797286,191.0,140.0,184.0,140.0,0.172549024224281,0.180392161011696,0.041,0.007074509993195521,57.86622503671723,106.0,199.0,106.0,199.0,0.203921586275101,0.203921586275101,0.058,0.011827452003955859,74.6625742926133,154.0,193.0,154.0,193.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,70.657625207758,191.0,164.0,193.921691894531,163.026123046875,0.203921586275101,0.180392161011696,0.066,0.013458824694156667,75.32560370069203,239.0,176.0,239.0,176.0,0.18431372940540303,0.18431372940540303,0.05,0.009215686470270152,121.59152931022786,149.0,144.0,149.0,144.0,0.20000001788139302,0.20000001788139302,0.075,0.015000001341104475,27.101660465735304,139.0,169.0,139.0,169.0,0.19215688109397897,0.19215688109397897,0.083,0.015949021130800253,43.06390600026895,160.0,107.0,160.0,107.0,0.20000001788139302,0.20000001788139302,0.066,0.01320000118017194,38.4252521136817,0.208,0.125,0.226,0.168,0.217,0.176,0.116,0.058,0.159,0.076,0.242,0.176,0.192,0.142,0.184,0.109,0.192,0.109,0.475,0.501,0.416,0.341,0.451,0.509,0.459,0.442
163.0,161.0,163.0,161.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,48.81085944746312,150.0,159.0,150.0,159.0,0.20000001788139302,0.20000001788139302,0.05,0.010000000894069652,38.71046370169182,119.0,171.0,119.0,171.0,0.19215688109397897,0.19215688109397897,0.049,0.00941568717360497,44.32268042436062,151.0,183.0,151.0,183.0,0.20000001788139302,0.20000001788139302,0.067,0.013400001198053332,60.27022482121665,132.0,180.0,132.0,180.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,52.69250421075089,144.0,189.0,146.91320800781298,188.02893066406298,0.20000001788139302,0.172549024224281,0.067,0.013400001198053332,63.56590353711302,191.0,183.0,191.0,183.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,84.335638967165,173.0,198.0,173.0,198.0,0.20000001788139302,0.20000001788139302,0.075,0.015000001341104475,83.9076873713011,107.0,131.0,107.0,131.0,0.19215688109397897,0.19215688109397897,0.108,0.02075294315814973,20.796634343085422,180.0,133.0,180.0,133.0,0.20000001788139302,0.20000001788139302,0.058,0.011600001037120795,52.787309080876625,0.217,0.142,0.234,0.184,0.208,0.159,0.142,0.075,0.15,0.059,0.217,0.15,0.234,0.151,0.175,0.1,0.209,0.101,0.5,0.509,0.441,0.359,0.45,0.526,0.517,0.442
