xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,xCoordPress7,yCoordPress7,xCoordRelease7,yCoordRelease7,pressPressure7,releasePressure7,holdTime7,HPP7,offSet7,xCoordPress8,yCoordPress8,xCoordRelease8,yCoordRelease8,pressPressure8,releasePressure8,holdTime8,HPP8,offSet8,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,PPTime6,UDTime6,PPTime7,UDTime7
40.0,113.0,40.0,113.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,33.55964838909967,32.0,118.0,32.0,118.0,0.180392161011696,0.180392161011696,0.08,0.01443137288093568,41.76421913552317,21.0,132.0,23.9785461425781,131.00720214843798,0.180392161011696,0.160784319043159,0.067,0.012086274787783633,57.045914419726316,55.0,108.0,55.0,108.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,25.51960031034969,38.0,99.0,38.0,99.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,22.983689869122408,25.0,83.0,25.0,83.0,0.176470592617989,0.176470592617989,0.059,0.01041176496446135,29.004310024546353,50.0,132.0,50.0,132.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,49.66135318333563,37.0,100.0,37.0,100.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,24.397745797511703,50.0,138.0,50.0,138.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,55.64395744373328,0.503,0.42,0.231,0.151,0.326,0.259,0.334,0.259,0.325,0.267,0.301,0.242,0.259,0.193,0.359,0.293
31.0,105.0,33.0,104.0,0.180392161011696,0.133333340287209,0.058,0.010462745338678369,30.054117854297438,55.0,117.0,55.0,117.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,34.514489710844636,30.0,135.0,30.0,135.0,0.180392161011696,0.180392161011696,0.049,0.008839215889573104,57.72564421468157,49.0,135.0,49.0,135.0,0.172549024224281,0.172549024224281,0.082,0.014149019986391042,52.73755777432247,63.0,117.0,63.0,117.0,0.149019613862038,0.149019613862038,0.017,0.002533333435654646,35.654592972014136,8.0,103.0,8.0,103.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,50.36119537898202,48.0,114.0,48.0,114.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,32.06633748964793,42.0,110.0,42.0,110.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,30.004166377354995,32.0,157.0,32.0,157.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,77.68043511721596,0.426,0.368,0.242,0.176,0.309,0.26,0.375,0.293,0.309,0.292,0.868,0.768,0.284,0.209,0.442,0.359
31.0,103.0,31.0,103.0,0.180392161011696,0.180392161011696,0.064,0.011545098304748544,30.80990100600779,56.0,110.0,56.0,110.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,27.572631357924475,95.0,101.0,95.0,101.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,44.98055135277912,54.0,92.0,54.0,92.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,9.5,66.0,121.0,66.0,121.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,40.326790102858425,29.0,123.0,29.0,123.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,47.59464255564905,31.0,133.0,31.0,133.0,0.176470592617989,0.176470592617989,0.099,0.01747058866918091,55.49099025968089,46.0,95.0,46.0,95.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,14.84082207965583,97.0,104.0,97.0,104.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,48.075461516245475,0.448,0.384,0.292,0.192,0.66,0.585,0.584,0.493,0.459,0.392,0.385,0.302,0.45,0.351,0.459,0.393
25.0,124.0,25.0,124.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,50.62854925829892,75.0,143.0,75.0,143.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,64.04100249059192,18.0,118.0,21.0,117.0,0.176470592617989,0.109803929924965,0.067,0.011823529705405265,47.74149138851865,19.0,122.0,19.0,122.0,0.176470592617989,0.176470592617989,0.125,0.022058824077248625,52.77546778570513,44.0,144.0,44.0,144.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,62.30770417853638,16.0,114.0,16.0,114.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,49.35838327984416,38.0,106.0,38.0,106.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,28.429737951659,36.0,90.0,36.0,90.0,0.176470592617989,0.176470592617989,0.082,0.014470588594675099,19.5,51.0,94.0,51.0,94.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,11.884864324004713,0.476,0.393,0.367,0.267,0.359,0.292,0.518,0.393,0.434,0.359,0.301,0.218,0.284,0.21,0.433,0.351
50.0,93.0,50.0,93.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,11.236102527122116,77.0,96.0,77.0,96.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,26.669270706189174,78.0,116.0,78.0,116.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,41.20982892466311,59.0,93.0,59.0,93.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,11.629703349613008,70.0,93.0,70.0,93.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,19.13765920900464,50.0,93.0,50.0,93.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,11.236102527122116,31.0,109.0,33.0,104.0,0.176470592617989,0.12941177189350098,0.099,0.01747058866918091,30.054117854297438,43.0,121.0,43.0,121.0,0.172549024224281,0.172549024224281,0.091,0.01570196120440957,40.04060439104285,31.0,125.0,31.0,125.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,48.32442446630896,0.426,0.351,0.326,0.226,0.367,0.301,0.426,0.334,0.334,0.251,0.309,0.226,0.292,0.193,0.417,0.326
11.0,78.0,11.0,78.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,43.23482392701513,60.0,107.0,60.0,107.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,25.22399651125888,68.0,99.0,68.0,99.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,21.639085008382402,39.0,95.0,39.0,95.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,19.525624189766635,57.0,90.0,57.0,90.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,8.077747210701755,15.0,95.0,15.0,95.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,40.95424275945045,41.0,79.0,41.0,79.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,13.46291201783626,61.0,104.0,61.0,104.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,22.610838109190027,22.0,114.0,22.0,114.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,44.90267252625394,0.467,0.409,0.251,0.176,0.35,0.284,0.359,0.293,0.3,0.25,0.284,0.226,0.242,0.159,0.493,0.418
30.0,93.0,30.0,93.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,26.196373794859472,60.0,119.0,60.0,119.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,36.98986347636336,4.0,107.0,4.0,107.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,55.679888649313945,50.0,109.0,50.0,109.0,0.172549024224281,0.172549024224281,0.05,0.008627451211214051,26.800186566514792,18.0,96.0,18.0,96.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,38.44801685392889,35.0,71.0,35.0,71.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,22.20923231451281,7.0,101.0,7.0,101.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,50.50990001969911,9.0,83.0,9.0,83.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,45.002777692049186,61.0,99.0,61.0,99.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,17.92344832893492,0.401,0.326,0.284,0.193,0.417,0.342,0.351,0.301,0.359,0.293,0.292,0.218,0.267,0.184,0.451,0.377
45.0,87.0,45.0,87.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,10.062305898749054,25.0,135.0,25.0,135.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,59.97707895521422,43.0,146.0,46.0,146.0,0.176470592617989,0.109803929924965,0.075,0.013235294446349175,64.00195309519859,26.0,121.0,26.0,121.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,47.60514678057405,13.0,129.0,13.0,129.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,61.99395131785036,70.0,65.0,70.0,65.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,23.71181140275875,42.0,88.0,42.0,88.0,0.176470592617989,0.176470592617989,0.099,0.01747058866918091,13.200378782444085,33.0,120.0,33.0,120.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,42.97964634568321,45.0,114.0,45.0,114.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,32.76049450176233,0.476,0.418,0.267,0.184,0.426,0.351,0.384,0.318,0.351,0.293,0.301,0.226,0.3,0.201,0.492,0.384
29.0,100.0,29.0,100.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,30.516389039334257,83.0,130.0,83.0,130.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,55.65294241996554,46.0,124.0,46.0,124.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,42.26405091800832,15.0,103.0,15.0,103.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,44.05961870012041,55.0,101.0,55.0,101.0,0.172549024224281,0.172549024224281,0.041,0.007074509993195521,18.527007313648905,64.0,75.0,64.0,75.0,0.172549024224281,0.172549024224281,0.091,0.01570196120440957,12.5,38.0,106.0,38.0,106.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,28.429737951659,51.0,100.0,51.0,100.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,17.755280904564703,35.0,97.0,35.0,97.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,23.90083680543424,0.526,0.468,0.317,0.251,0.459,0.401,0.359,0.276,0.342,0.301,0.342,0.251,0.225,0.167,0.409,0.334
41.0,112.0,41.0,112.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,32.23740063962974,61.0,137.0,61.0,137.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,54.94770240874499,69.0,135.0,69.0,135.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,54.60082416960389,73.0,130.0,73.0,130.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,51.15906566777779,31.0,117.0,31.0,117.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,41.46383966783588,17.0,86.0,17.0,86.0,0.176470592617989,0.176470592617989,0.041,0.007235294297337549,37.16517186829626,27.0,107.0,27.0,107.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,36.45888094826828,19.0,82.0,19.0,82.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,35.00357124637428,33.0,80.0,33.0,80.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,21.1482859825566,0.409,0.359,0.242,0.167,0.343,0.285,0.317,0.234,0.326,0.268,0.241,0.2,0.251,0.193,0.409,0.351
