xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4
34.0,85.0,34.0,85.0,0.164705887436867,0.164705887436867,0.157,0.025858824327588122,20.155644370746373,65.0,82.0,65.0,82.0,0.180392161011696,0.180392161011696,0.115,0.02074509851634504,11.01135777277262,65.0,96.0,65.0,96.0,0.12941177189350098,0.12941177189350098,0.134,0.017341177433729132,17.414074767267998,65.0,82.0,65.0,82.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,11.01135777277262,65.0,104.0,65.0,104.0,0.176470592617989,0.176470592617989,0.109,0.019235294595360802,24.150569351466643,23.0,131.0,23.0,131.0,0.180392161011696,0.180392161011696,0.107,0.019301961228251473,57.56083738098326,1.669,1.512,0.874,0.759,1.395,1.261,0.791,0.683,0.877,0.768
49.0,89.0,49.0,89.0,0.180392161011696,0.180392161011696,0.126,0.022729412287473695,8.200609733428363,48.0,98.0,48.0,98.0,0.18431372940540303,0.18431372940540303,0.117,0.021564706340432154,16.62077013859466,59.0,97.0,59.0,97.0,0.168627455830574,0.168627455830574,0.1,0.016862745583057403,15.337861650177967,52.0,107.0,52.0,107.0,0.18431372940540303,0.18431372940540303,0.108,0.019905882775783527,24.58149710656371,46.0,73.0,46.0,73.0,0.18823531270027202,0.18823531270027202,0.108,0.02032941377162938,12.419742348374221,46.0,90.0,46.0,90.0,0.19215688109397897,0.19215688109397897,0.108,0.02075294315814973,10.965856099730654,0.959,0.833,0.85,0.733,0.81,0.71,0.759,0.651,0.559,0.451
30.0,63.0,30.0,63.0,0.176470592617989,0.176470592617989,0.124,0.021882353484630634,30.923292192132454,68.0,96.0,68.0,96.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,19.448650338776723,59.0,60.0,59.987548828125,60.0,0.172549024224281,0.0588235333561897,0.108,0.018635294616222348,23.283056950692302,44.0,92.0,44.0,92.0,0.180392161011696,0.180392161011696,0.116,0.020925490677356738,13.793114224133722,62.0,100.0,62.0,100.0,0.180392161011696,0.180392161011696,0.125,0.022549020126462,19.241881404893856,42.0,110.0,42.0,110.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,30.004166377354995,0.7,0.576,0.843,0.752,1.052,0.944,0.8,0.684,0.785,0.66
31.0,69.0,31.0,69.0,0.176470592617989,0.176470592617989,0.158,0.027882353633642262,26.669270706189174,56.0,89.0,56.0,89.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,6.800735254367722,88.0,64.0,88.0,64.0,0.10196079313755,0.10196079313755,0.1,0.010196079313755,38.70723446592381,48.0,101.0,48.0,101.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,19.448650338776723,63.0,104.0,63.0,104.0,0.164705887436867,0.164705887436867,0.117,0.01927058883011344,23.30772404161333,41.0,108.0,41.0,108.0,0.176470592617989,0.176470592617989,0.133,0.02347058881819254,28.622543562723422,0.734,0.576,0.859,0.768,0.893,0.793,0.768,0.676,0.885,0.768
36.0,81.0,36.0,81.0,0.176470592617989,0.176470592617989,0.157,0.027705883041024275,18.062391868188442,25.0,106.0,25.0,106.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,37.32626421167808,64.0,111.0,64.0,111.0,0.152941182255745,0.152941182255745,0.091,0.013917647585272794,30.20347662107791,46.0,95.0,46.0,95.0,0.164705887436867,0.164705887436867,0.091,0.014988235756754897,14.84082207965583,31.0,98.0,31.0,98.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,27.735356496717326,55.0,88.0,55.0,88.0,0.18431372940540303,0.18431372940540303,0.108,0.019905882775783527,5.5901699437494745,0.8,0.643,0.726,0.626,0.818,0.727,0.792,0.701,0.735,0.643
46.0,65.0,46.0,65.0,0.176470592617989,0.176470592617989,0.15,0.02647058889269835,19.241881404893856,55.0,70.0,55.0,70.0,0.18431372940540303,0.18431372940540303,0.099,0.0182470592111349,12.539936203984453,89.0,117.0,89.0,117.0,0.125490203499794,0.125490203499794,0.108,0.013552941977977753,49.145193050795925,72.0,95.0,72.0,95.0,0.176470592617989,0.176470592617989,0.125,0.022058824077248625,21.914607000811127,70.0,112.0,70.0,112.0,0.176470592617989,0.176470592617989,0.142,0.025058824151754436,33.55964838909967,48.0,103.0,48.0,103.0,0.176470592617989,0.176470592617989,0.116,0.020470588743686725,21.360009363293827,0.751,0.601,0.592,0.493,0.776,0.668,0.701,0.576,0.726,0.584
39.0,97.0,39.0,97.0,0.176470592617989,0.176470592617989,0.141,0.02488235355913645,20.862646045025066,58.0,61.0,58.0,61.0,0.18823531270027202,0.18823531270027202,0.099,0.018635295957326933,21.86892772862904,74.0,100.0,74.0,100.0,0.149019613862038,0.149019613862038,0.092,0.013709804475307496,26.575364531836623,71.0,92.0,71.0,92.0,0.180392161011696,0.180392161011696,0.117,0.021105882838368433,19.474342094150447,29.0,93.0,29.0,93.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,27.115493725912497,43.0,71.0,43.0,71.0,0.19215688109397897,0.19215688109397897,0.116,0.022290198206901563,15.913830462839549,0.601,0.46,0.675,0.576,0.801,0.709,0.734,0.617,0.685,0.585
61.0,99.0,61.0,99.0,0.18431372940540303,0.18431372940540303,0.167,0.030780392810702308,17.92344832893492,54.0,86.0,54.0,86.0,0.18431372940540303,0.18431372940540303,0.108,0.019905882775783527,3.5,58.0,99.0,58.0,99.0,0.172549024224281,0.172549024224281,0.099,0.01708235339820382,16.977926846349646,54.0,86.0,54.0,86.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,3.5,52.0,84.0,52.0,84.0,0.18823531270027202,0.18823531270027202,0.108,0.02032941377162938,2.5,34.0,103.0,34.0,103.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,28.64000698323937,0.801,0.634,0.701,0.593,0.759,0.66,0.651,0.551,0.684,0.576
29.0,93.0,29.0,93.0,0.172549024224281,0.172549024224281,0.158,0.0272627458274364,27.115493725912497,49.0,81.0,49.0,81.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,5.220153254455275,52.0,100.0,52.0,100.0,0.172549024224281,0.172549024224281,0.108,0.018635294616222348,17.613914953808536,52.0,88.0,52.0,88.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,5.852349955359813,53.0,105.0,53.0,105.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,22.522211259110417,67.0,87.0,67.0,87.0,0.18431372940540303,0.18431372940540303,0.108,0.019905882775783527,13.756816492197604,0.743,0.585,0.759,0.659,0.834,0.726,0.81,0.718,0.826,0.718
36.0,92.0,36.0,92.0,0.176470592617989,0.176470592617989,0.133,0.02347058881819254,20.35313243704762,58.0,91.0,58.0,91.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,9.394147114027968,62.0,104.0,62.0,104.0,0.172549024224281,0.172549024224281,0.091,0.01570196120440957,22.940139493908923,68.0,101.0,68.0,101.0,0.180392161011696,0.180392161011696,0.099,0.017858823940157906,23.200215516240362,60.0,84.0,60.0,84.0,0.18823531270027202,0.18823531270027202,0.125,0.023529414087534003,6.18465843842649,54.0,78.0,54.0,78.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,4.5,0.684,0.551,0.693,0.626,0.801,0.71,0.751,0.652,0.692,0.567
