xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4
46.0,90.0,46.0,90.0,0.15686275064945202,0.15686275064945202,0.083,0.013019608303904518,10.965856099730654,48.0,82.0,48.0,82.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,6.020797289396148,45.0,100.0,47.0,101.0,0.176470592617989,0.109803929924965,0.058,0.010235294371843362,19.78004044485248,73.0,92.0,70.0,92.0,0.176470592617989,0.14117647707462302,0.058,0.010235294371843362,18.607794065928395,50.0,91.0,50.0,91.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,9.394147114027968,50.0,119.0,50.0,119.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,36.718523935474316,0.468,0.385,0.467,0.401,0.418,0.36,0.384,0.326,0.308,0.242
73.0,107.0,73.0,107.0,0.0980392247438431,0.0980392247438431,0.075,0.007352941855788233,31.00403199585499,47.0,98.0,47.0,98.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,17.00735135169495,30.0,95.0,30.0,95.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,27.060118255469618,62.0,108.0,62.0,108.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,26.725456029785533,54.0,103.0,54.0,103.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,20.5,66.0,116.0,68.0,116.0,0.19215688109397897,0.176470592617989,0.074,0.014219609200954443,36.30771267926417,0.501,0.426,0.392,0.326,0.351,0.285,0.392,0.318,0.284,0.218
61.0,111.0,61.0,111.0,0.149019613862038,0.149019613862038,0.075,0.011176471039652849,29.34706118165838,50.0,103.0,51.959686279296896,103.0,0.18431372940540303,0.12941177189350098,0.074,0.013639215975999824,20.60128345707833,47.0,97.0,53.297119140625,98.0,0.18431372940540303,0.172549024224281,0.074,0.013639215975999824,15.515928638095618,52.0,105.0,52.0,105.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,22.588713996153036,54.0,108.0,54.0,108.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,25.5,61.0,110.0,61.0,110.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,28.376927247325423,0.476,0.401,0.434,0.36,0.367,0.293,0.425,0.359,0.309,0.234
57.0,113.0,57.0,113.0,0.133333340287209,0.133333340287209,0.084,0.011200000584125557,30.64718584144391,35.0,122.0,35.0,122.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,43.83206588788623,46.0,113.0,46.0,113.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,31.531730050855124,58.0,118.0,58.0,118.0,0.15686275064945202,0.15686275064945202,0.075,0.011764706298708901,35.7246413557925,74.0,93.0,74.0,93.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,22.588713996153036,60.0,133.0,61.0,137.0,0.18823531270027202,0.172549024224281,0.066,0.012423530638217955,54.94770240874499,0.451,0.367,0.468,0.385,0.425,0.359,0.393,0.318,0.317,0.251
76.0,101.0,76.0,101.0,0.10196079313755,0.10196079313755,0.083,0.00846274583041665,28.74456470360962,48.0,103.0,48.0,103.0,0.18431372940540303,0.18431372940540303,0.05,0.009215686470270152,21.360009363293827,32.0,110.0,40.258087158203104,107.247314453125,0.18431372940540303,0.176470592617989,0.074,0.013639215975999824,28.30670841326119,43.0,120.0,43.0,120.0,0.176470592617989,0.176470592617989,0.084,0.014823529779911077,39.080046059338265,54.0,123.0,54.0,123.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,40.5,84.0,110.0,84.0,110.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,40.697051490249265,0.492,0.409,0.401,0.351,0.333,0.259,0.485,0.401,0.292,0.234
65.0,77.0,65.0,77.0,0.133333340287209,0.133333340287209,0.075,0.010000000521540675,12.298373876248844,51.0,105.0,51.0,105.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,22.699118925632334,60.0,79.0,62.931304931640604,79.0,0.180392161011696,0.172549024224281,0.074,0.013349019914865503,9.592612145914572,70.0,101.0,70.0,101.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,24.45914961727002,60.0,112.0,60.0,112.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,30.103986446980738,77.0,101.0,77.0,101.0,0.18823531270027202,0.18823531270027202,0.092,0.017317648768425026,29.516944286290883,0.451,0.376,0.384,0.301,0.358,0.284,0.384,0.309,0.292,0.192
66.0,111.0,56.0,111.0,0.12941177189350098,0.160784319043159,0.1,0.012941177189350098,28.570089254323307,67.0,124.0,67.0,124.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,43.48850422812907,47.0,86.0,50.0,85.0,0.18431372940540303,0.176470592617989,0.083,0.015298039540648452,4.716990566028302,70.0,100.0,70.0,100.0,0.172549024224281,0.172549024224281,0.067,0.011560784623026827,23.71181140275875,59.0,90.0,59.0,90.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,9.013878188659973,62.0,97.0,62.0,97.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,16.560495161679196,0.418,0.318,0.358,0.292,0.342,0.259,0.376,0.309,0.267,0.184
71.0,122.0,71.0,122.0,0.11764706671237898,0.11764706671237898,0.083,0.009764706537127457,43.00290687848904,62.0,92.0,62.0,92.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,12.419742348374221,60.0,87.0,60.0,87.0,0.18431372940540303,0.18431372940540303,0.084,0.015482353270053855,7.5,68.0,71.0,65.0,71.0,0.172549024224281,0.176470592617989,0.066,0.011388235598802548,15.913830462839549,51.0,87.0,51.0,87.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,5.408326913195984,76.0,114.0,79.8997344970703,114.0,0.18823531270027202,0.176470592617989,0.066,0.012423530638217955,40.78046403633403,0.426,0.343,0.383,0.309,0.326,0.242,0.35,0.284,0.259,0.192
49.0,69.0,49.0,69.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,14.396180048887969,90.0,94.0,90.0,94.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,37.79219496139381,69.0,78.0,69.0,78.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,15.660459763365825,36.0,89.0,36.0,89.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,19.13765920900464,35.0,111.0,35.0,111.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,34.2527371169079,86.0,106.0,86.0,106.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,39.702015062210634,0.434,0.351,0.4,0.334,0.393,0.326,0.375,0.317,0.267,0.184
60.0,85.0,60.0,85.0,0.12941177189350098,0.12941177189350098,0.075,0.009705882892012572,6.5,46.0,93.0,49.9139404296875,93.0,0.18823531270027202,0.172549024224281,0.066,0.012423530638217955,11.267026351799412,57.0,78.0,65.11187744140621,76.2960205078125,0.180392161011696,0.10196079313755,0.091,0.016415686652064335,12.72647562415908,54.0,84.0,54.0,84.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,1.5,45.0,84.0,45.0,84.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,9.12414379544733,72.0,108.0,72.0,108.0,0.18823531270027202,0.18823531270027202,0.067,0.012611765950918227,31.212978070027216,0.493,0.418,0.358,0.292,0.351,0.26,0.333,0.267,0.259,0.176
