xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,xCoordPress7,yCoordPress7,xCoordRelease7,yCoordRelease7,pressPressure7,releasePressure7,holdTime7,HPP7,offSet7,xCoordPress8,yCoordPress8,xCoordRelease8,yCoordRelease8,pressPressure8,releasePressure8,holdTime8,HPP8,offSet8,xCoordPress9,yCoordPress9,xCoordRelease9,yCoordRelease9,pressPressure9,releasePressure9,holdTime9,HPP9,offSet9,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,PPTime6,UDTime6,PPTime7,UDTime7,PPTime8,UDTime8,Tri0,Tri1,Tri2,Tri3,Tri4,Tri5,Tri6,Tri7
152.0,101.0,152.0,101.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,36.09016486523718,181.0,86.0,181.0,86.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,67.70893589475469,145.0,152.0,145.0,152.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,30.108138434649195,150.0,151.0,151.0,147.0,0.18431372940540303,0.137254908680916,0.057,0.010505882576107973,30.53686296920494,169.0,106.0,169.0,106.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,46.738634982207174,134.0,145.0,134.0,145.0,0.18431372940540303,0.18431372940540303,0.05,0.009215686470270152,18.66815470259447,91.0,146.0,91.0,146.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,40.92065493122025,110.0,162.0,110.0,162.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,38.6846222677694,107.0,191.0,107.97222900390601,186.13879394531298,0.18431372940540303,0.172549024224281,0.058,0.010690196305513376,61.8048703213328,136.0,88.0,136.0,88.0,0.18431372940540303,0.18431372940540303,0.05,0.009215686470270152,40.40420770167385,0.274,0.2,0.25,0.192,0.184,0.126,0.183,0.126,0.192,0.126,0.192,0.142,0.2,0.134,0.225,0.167,0.175,0.117,0.582,0.491,0.433,0.425,0.45,0.45,0.483,0.45
141.0,145.0,141.0,145.0,0.18431372940540303,0.18431372940540303,0.05,0.009215686470270152,22.102036105300343,124.0,145.0,124.0,145.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,17.84656829757475,83.0,247.0,83.0,247.0,0.18431372940540303,0.18431372940540303,0.099,0.0182470592111349,127.51666557748442,137.0,173.0,137.0,173.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,46.4811789867684,137.0,142.0,137.0,142.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,17.334935823359714,101.0,113.0,101.0,113.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,30.20761493398643,145.0,149.0,145.0,149.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,27.721832551258224,89.0,159.0,89.0,159.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,49.74434641243163,106.0,139.0,106.0,139.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,24.38237068047322,137.0,112.0,137.0,112.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,18.179658962697843,0.209,0.159,0.242,0.184,0.583,0.484,0.309,0.242,0.192,0.134,0.225,0.167,0.192,0.126,0.233,0.167,0.175,0.117,0.55,0.892,0.95,0.559,0.483,0.483,0.483,0.466
178.0,159.0,178.0,159.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,59.51890455981192,120.0,121.0,120.0,121.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,9.924716620639604,112.0,95.0,112.0,95.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,36.00694377477767,155.0,133.0,155.0,133.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,28.044607324760317,118.0,109.0,118.0,109.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,20.796634343085422,132.0,149.0,132.0,149.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,21.965882636488796,70.0,125.0,70.0,125.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,57.554322166106694,130.0,132.0,130.0,132.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,5.1478150704935,149.0,135.0,150.958404541016,123.249633789063,0.18431372940540303,0.105882361531258,0.067,0.012349019870162004,23.84035143484749,133.0,97.0,133.0,97.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,30.99193443462347,0.225,0.167,0.267,0.192,0.192,0.126,0.192,0.126,0.191,0.125,0.201,0.143,0.2,0.134,0.233,0.167,0.175,0.108,0.558,0.525,0.45,0.441,0.458,0.467,0.5,0.475
121.0,154.0,121.0,154.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,27.285527299284507,119.0,148.0,119.0,148.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,22.192341021172147,107.0,114.0,107.0,114.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,24.545875417267155,127.0,170.0,127.0,170.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,42.50294107470682,147.0,98.0,147.0,98.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,35.36240942017385,115.0,139.0,118.0,138.0,0.180392161011696,0.168627455830574,0.058,0.010462745338678369,14.159802258506296,101.0,121.0,101.0,121.0,0.18431372940540303,0.18431372940540303,0.049,0.009031372740864749,27.285527299284507,171.0,96.0,171.0,96.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,53.70754136990447,131.0,111.0,131.0,111.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,16.867127793433,145.0,125.0,145.0,125.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,17.67766952966369,0.242,0.176,0.267,0.209,0.183,0.125,0.184,0.126,0.183,0.125,0.209,0.151,0.2,0.151,0.242,0.184,0.217,0.151,0.567,0.508,0.425,0.425,0.441,0.467,0.508,0.525
127.0,165.0,127.0,165.0,0.18431372940540303,0.18431372940540303,0.041,0.007556862905621524,37.50333318519835,101.0,125.0,101.0,125.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,26.61766330841233,145.0,130.0,145.0,130.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,17.67766952966369,139.0,142.0,139.0,142.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,18.506755523321747,125.0,124.0,125.0,124.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,4.301162633521313,110.0,147.0,110.0,147.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,26.201145013147805,161.0,128.0,161.0,128.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,33.50373113550191,151.0,105.0,151.0,105.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,32.53459696999488,123.0,117.0,123.0,117.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,11.423659658795863,149.0,108.0,149.0,108.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,29.025850547399983,0.217,0.176,0.225,0.175,0.192,0.117,0.184,0.118,0.191,0.133,0.217,0.159,0.192,0.125,0.25,0.183,0.192,0.125,0.517,0.483,0.434,0.433,0.475,0.476,0.509,0.5
127.0,130.0,127.0,130.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,2.5495097567963922,106.0,79.0,106.0,79.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,53.051861418804144,131.0,119.0,131.0,119.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,9.192388155425117,151.0,130.0,151.0,130.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,23.632604596192948,138.0,91.0,138.0,91.0,0.18431372940540303,0.18431372940540303,0.059,0.010874510034918778,37.98025802966588,118.0,101.0,122.0,99.0,0.18431372940540303,0.133333340287209,0.058,0.010690196305513376,29.025850547399983,129.0,147.0,130.96057128906298,147.0,0.18431372940540303,0.113725498318672,0.066,0.0121647061407566,19.80468514384127,122.0,138.0,122.0,138.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,11.853269591129697,98.0,157.0,99.0,152.0,0.18431372940540303,0.121568635106087,0.058,0.010690196305513376,37.58324094593227,136.0,116.0,138.942138671875,116.980712890625,0.18431372940540303,0.137254908680916,0.066,0.0121647061407566,15.542777701423914,0.192,0.134,0.258,0.184,0.167,0.109,0.183,0.117,0.192,0.133,0.201,0.143,0.2,0.134,0.233,0.175,0.184,0.126,0.508,0.491,0.409,0.433,0.459,0.459,0.491,0.483
133.0,137.0,133.0,137.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,10.977249200050075,109.0,120.0,109.0,120.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,19.96246477767713,107.0,139.0,107.0,139.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,23.50531854708632,138.0,145.0,138.0,145.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,20.40833163195855,134.0,130.0,134.0,130.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,6.96419413859206,108.0,128.0,108.0,128.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,19.50640920313116,113.0,110.0,113.0,110.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,22.726636354727024,173.0,110.0,173.0,110.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,48.74935897014442,100.0,153.0,100.0,153.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,37.50333318519835,119.0,72.0,119.0,72.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,56.14712815451918,0.233,0.167,0.251,0.184,0.2,0.134,0.175,0.125,0.184,0.118,0.208,0.15,0.2,0.134,0.242,0.175,0.184,0.117,0.55,0.501,0.441,0.417,0.458,0.475,0.509,0.484
89.0,134.0,89.0,134.0,0.18431372940540303,0.18431372940540303,0.05,0.009215686470270152,39.04484601070928,125.0,118.0,125.0,118.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,9.82344135219425,159.0,125.0,159.0,125.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,31.599050618649922,146.0,129.0,146.0,129.0,0.180392161011696,0.180392161011696,0.041,0.007396078601479537,18.560711193270585,124.0,129.0,124.0,129.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,3.8078865529319543,136.0,146.0,136.0,146.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,20.359273071502333,141.0,139.0,144.932312011719,139.0,0.18431372940540303,0.105882361531258,0.066,0.0121647061407566,20.88385745196329,151.0,134.0,151.0,134.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,24.38237068047322,96.0,132.0,96.0,132.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,31.81980515339464,144.0,105.0,144.0,105.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,27.90161285660741,0.233,0.183,0.259,0.192,0.217,0.159,0.192,0.151,0.2,0.134,0.225,0.167,0.2,0.134,0.225,0.167,0.2,0.134,0.55,0.517,0.475,0.45,0.491,0.483,0.491,0.492
156.0,150.0,156.0,150.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,36.31115531073061,140.0,112.0,140.0,112.0,0.180392161011696,0.180392161011696,0.059,0.010643137499690064,19.912307751739878,141.0,132.0,141.0,132.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,14.230249470757707,132.0,162.0,132.0,162.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,34.792240514229604,120.0,132.0,120.0,132.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,8.74642784226795,119.0,138.0,119.0,138.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,13.509256086106296,130.0,121.0,133.0,121.0,0.18431372940540303,0.137254908680916,0.066,0.0121647061407566,8.514693182963201,192.0,172.0,192.0,172.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,78.3613425101944,91.0,126.0,91.0,126.0,0.18431372940540303,0.18431372940540303,0.049,0.009031372740864749,36.53080891521566,114.0,125.0,114.0,125.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,13.729530217745982,0.241,0.183,0.259,0.2,0.192,0.134,0.192,0.134,0.208,0.15,0.242,0.175,0.192,0.126,0.267,0.192,0.183,0.134,0.558,0.509,0.442,0.467,0.516,0.509,0.508,0.508
129.0,73.0,129.0,73.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,54.52063829413592,89.0,118.0,89.0,115.0,0.176470592617989,0.160784319043159,0.067,0.011823529705405265,40.47838929601819,138.0,144.0,138.0,144.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,19.557607215607945,143.0,124.0,143.0,124.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,15.890248582070704,123.0,140.0,123.0,140.0,0.180392161011696,0.180392161011696,0.059,0.010643137499690064,13.285330255586423,120.0,138.0,120.0,138.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,12.90348790056394,116.0,135.0,116.0,135.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,13.729530217745982,167.0,153.0,167.0,153.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,47.01595473879053,139.0,128.0,139.0,128.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,11.510864433221338,122.0,134.0,122.0,134.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,8.514693182963201,0.241,0.183,0.251,0.184,0.183,0.117,0.2,0.133,0.184,0.125,0.217,0.151,0.2,0.134,0.276,0.209,0.208,0.15,0.558,0.501,0.442,0.45,0.467,0.484,0.534,0.542
